Type;Question;Answer
drug;what does prednisone do to the body;"Fluid and Electrolyte Disturbances:

Sodium retention.

Fluid retention.

Congestive heart failure in susceptible patients.

Potassium loss.

Hypokalemic alkalosis.

Hypertension.
Musculoskeletal:

Muscle weakness.

Steroid myopathy.

Loss of muscle mass.

Osteoporosis.

Vertebral compression fractures.

Aseptic necrosis of femoral and humeral heads.

Pathologic fracture of long bones.
Gastrointestinal:

Peptic ulcer with possible perforation and hemorrhage.

Pancreatitis.

Abdominal distention.

Ulcerative esophagitis.
Dermatologic:

Impaired wound healing.

Thin fragile skin.

Petechiae and ecchymoses.

Facial erythema.

Increased sweating.

May suppress reactions to skin tests.
Metabolic:

Negative nitrogen balance due to protein catabolism.
Neurological:

Convulsions

Increased intracranial pressure with papilledema (pseudo-tumor cerebri) usually after treatment.

Vertigo.

Headache.
Endocrine:

Menstrual irregularities.

Development of Cushingoid state.

Suppression of growth in children.

Secondary adrenocortical and pituitary unresponsiveness, particularly in times of stress, as in trauma, surgery or illness.

Decreased carbohydrate tolerance.

Manifestations of latent diabetes mellitus.

Increased requirements for insulin or oral hypoglycemic agents in diabetics.

 Ophthalmic:

Posterior subcapsular cataracts.

Increased intraocular pressure.

Glaucoma.

Exophthalmos.

Additional Reactions:

Urticaria and other allergic, anaphylactic or hypersensitivity reactions."
drug;how to prescribe fluocinonide .05% gel;"Patients using topical corticosteroids should receive the following information and instructions:
1. This medication is to be used as directed by the physician. It is for external use only. Avoid contact with the eyes.
2. Patients should be advised not to use this medication for any disorder other than for which it was prescribed.
3. The treated skin area should not be bandaged or otherwise covered or wrapped as to be occlusive unless directed by the physician.
4. Patients should report any signs of local adverse reactions, especially under occlusive dressing.
5. Parents of pediatric patients should be advised not to use tight-fitting diapers or plastic pants on a child being treated in the diaper area, as these garments may constitute occlusive dressings."
drug;what to do with hydrogen peroxide poisoning;"Seek medical help right away. Do NOT make the person throw up unless poison control or a health care provider tells you to do so. If the chemical is on the skin or in the eyes, flush with lots of water for at least 15 minutes.

Before Calling Emergency
Have this information ready:

Person's age, weight, and condition
Name of the product (ingredients and strength, if known)
Time it was swallowed or got into eyes or on skin
Amount swallowed, in eyes, or on skin"
drug;how does amxacillin clavulanic acid work;The combination of amoxicillin and clavulanic acid is used to treat certain infections caused by bacteria, including infections of the ears, lungs, sinus, skin, and urinary tract. Amoxicillin is in a class of medications called penicillin-like antibiotics. It works by stopping the growth of bacteria. Clavulanic acid is in a class of medications called beta-lactamase inhibitors. It works by preventing bacteria from destroying amoxicillin.
drug;what is the action of ezetimibe in my body;Ezetimibe is in a class of medications called cholesterol-lowering medications. It works by preventing the absorption of cholesterol in the intestine.
drug;when is the best time of day to take propranolol;The extended-release propranolol capsule (brand name: Inderal LA) usually is taken once a day. The extended-release capsule (Innopran XL, Inderal XL) is usually taken at bedtime and should consistently be taken either always with or always without food each time. Immediate-acting propranolol tablets or solution may be taken two, three, or four times a day. Take propranolol at around the same time(s) every day.
drug;how long are you protected after taking the hep b vaccine;Studies indicate that immunologic memory remains intact for at least 30 years among healthy vaccinated individuals who initiated hepatitis B vaccination >6 months of age. The vaccine confers long-term protection against clinical illness and chronic hepatitis B virus infection. Cellular immunity appears to persist even though antibody levels might become low or decline below detectable levels. Among vaccinated cohorts who initiated hepatitis B vaccination at birth, long-term follow-up studies are ongoing to determine the duration of vaccine-induced immunity
drug;how you use for paracetamol;"do not take more than directed (see OVERDOSE WARNING)
adults and children 12 years and over 
take 2 caplets every 6 hours while symptoms last
swallow whole – do not crush, chew, or dissolve
do not take more than 6 caplets in 24 hours, unless directed by a doctor
do not use for more than 10 days unless directed by a doctor
children under 12 years 
ask a doctor"
drug;how you use for paracetamol;Acetaminophen
drug;problems when stopping metformin, hair loss?;Metformin is often used to treat type 2 diabetes and may help some women with PCOS symptoms. It is not approved by the FDA to treat PCOS symptoms. Metformin improves insulin's ability to lower your blood sugar and can lower both insulin and androgen levels. After a few months of use, metformin may help restart ovulation, but it usually has little effect on acne and extra hair on the face or body. Recent research shows that metformin may have other positive effects, including lowering body mass and improving cholesterol levels.
drug;what is diclofenac sodium topical gel used for;"Diclofenac topical gel (Voltaren) is used to relieve pain from osteoarthritis (arthritis caused by a breakdown of the lining of the joints) in certain joints such as those of the knees, ankles, feet, elbows, wrists, and hands. 
Diclofenac is also available as a 3% gel (Solaraze; generic) that is applied to the skin to treat actinic keratosis (flat, scaly growths on the skin caused by too much sun exposure)."
drug;what is rate for iv infusion cilastatin/imipenem;"Recommend that the maximum total daily dosage not exceed 4 g/day.
Administer 500 mg by intravenous infusion over 20 to 30 minutes.
Administer 1,000 mg by intravenous infusion over 40 to 60 minutes."
drug;what is a beta blocker;"Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.

When you take beta blockers, your heart beats more slowly and with less force, thereby reducing blood pressure. Beta blockers also help blood vessels open up to improve blood flow.

Some beta blockers mainly affect your heart, while others affect both your heart and your blood vessels. Which one is best for you depends on your health and the condition being treated."
drug;marijuana is what schedule drug;"Cannabis , also known as marijuana, is a plant grown in many parts of the world which produces a resin containing compounds called cannabinoids. Some cannabinoids are psychoactive (acting on the brain and changing mood or consciousness) (see Question 1).
The use of Cannabis for medicinal purposes dates back to ancient times (see Question 3).
By federal law, the possession of Cannabis is illegal in the United States outside of approved research settings. However, a growing number of states, territories, and the District of Columbia have enacted laws to legalize medical marijuana (see Question 1).
In the United States, Cannabis is a controlled substance requiring special licensing for its use (see Question 1 and Question 3)."
drug;what should i do when stopping taking oxycodone;"Discontinuation of Oxycodone HCl Tablets
When a patient who has been taking oxycodone HCl tablets regularly and may be physically dependent no longer requires therapy with oxycodone HCl tablets, taper the dose gradually, by 25% to 50% every 2 to 4 days, while monitoring carefully for signs and symptoms of withdrawal. If the patient develops these signs or symptoms, raise the dose to the previous level and taper more slowly, either by increasing the interval between decreases, decreasing the amount of change in dose, or both. Do not abruptly discontinue oxycodone HCl tablets in a physically-dependent patient [see WARNINGS AND PRECAUTIONS (5.1), DRUG ABUSE AND DEPENDENCE (9.3)]."
