女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
谈了一场三年的恋爱，也是仅有的一次，现在不想谈恋爱了，感觉恋爱很累，我的想法有问题吗？;你几岁，男生吗？
非常怕死，怕父母有一天离自己而且，自己也会离开这个世界，一切都与自己无关，失眠怎么办啊;多大了？
我觉得生活毫无意义，经常感到烦躁，孤单，害怕一个人，不愿意与人交往，我是不是有抑郁症啊;看起来有抑郁症的倾向，可以做一下scl90的测试
女,离婚后前夫一家愿意带孩子也很疼孩子，但前夫不愿意要孩子抚养权是什么原因？谁能告诉我？;男孩女孩？
女 我总是闻到自己身上有异味 但是身边的人闻不到反而不熟悉的人会闻到 有味道就无法专心学习;是什么味道，去医院检查过吗？
女,30岁,在怀孕二胎时最近老公出轨了，现在他十天之内又联系了一个、而且还去约会了我该怎么办;你们的感情怎么样呢？
男,我也不知道自己是怎么老是一到了晚上就会兴奋激动想要杀人虐待人还失眠真的是受不了自己了;有的时候还紧张的浑身发抖是不是有精神了
大龄女应该怎么找对象？过了年就34了，83年的，碰到个自己喜欢的好难啊，该怎么办，该怎么找？;点击我头像加，关注，选择，图文咨询
女 和男友很相爱，男友对我超级好但是他妈妈嫌我家没有地位，他选择放手，我爱他想挽回怎么办;各自年龄多大
女,32岁,我是婚外恋 如今家里都知道了这种事 ，双方都有离婚的打算，我是请你们帮帮我。谢谢了;如果有真爱，真正踏实的爱，你可以自由选择。但真正的安全感是别人给的，还是自己给自己的呢？
女,当初因为家庭暴力离婚，两年过去了，他来找我说让我为了孩子回去复婚。我不知道该不该回去;有家暴婚姻要甚至考虑
感觉自己没人缘，跟别人出去觉得自己多余，老害怕别人说自己的坏话，跟朋友出去玩容不到一块;是朋友少是吗？
不会与陌生人交流，不敢泄露隐私，而除了这些不知该如何介绍自己，表达自己，很困惑╮(╯_╰)╭;你多大了亲爱的
失恋了  就是放不下 感觉要爆炸了 唉 是不知道怎么办才好 ....................................................;你多大了
我想要变得自信。不在意他人的目光。对人生有信心，不再犹豫不决和拖延     该怎么办，能实现吗;内在的改变才是真正的改变哦
男 我跟女友在一起两年了，我现在己经不爱她了，一提分手，她寻死觅活的，现在真不知道怎么办;你多大年龄？
本来一件很容易的事，最近一直出错，现在我觉得很认真的，可是还是一直出错，我怎么才能改正啊;工作中一直出错 ，怎么办
老公出轨两次了，他不想离婚，我们感情也还好，我应该怎么办？太轻易原谅他了他是不是还会出轨;美女，你们结婚几年，有什么矛盾吗？
太在乎女朋友的过去怎么办。很喜欢她，就是太在意了，老是控制不住自己去想她和她前男友的事。;她的过去是不可以改变的
不知道为什么我老是和父母吵架。只要她们在我耳边啰嗦，我就会觉得很烦人。就会忍不住和他们吵;你多大了
怎么样能真正了解到男人内心的想法？如何和一个我爱的人相处？怎么样才能做到让男人回心转意？;你们之间发生了什么？
女,23岁,我老公老是因为他妈妈和姐姐跟我吵架，这次人都跑了，找不到了，我都不知道该怎么办了。;婆媳关系处理不好，会影响夫妻关系的
女 因为我的一时糊涂我们离婚了，但都舍不得对方还生活在一起，只是心里非常难受不知怎么办好？;可以详细一点？
女,我很爱我的宠物狗，觉得它很可爱但是有时候想掐死它，它真的很可爱但是我为什么有这种想法呢;想掐死他的时候脑子里出现了什么？
男 现在学习越来越不认真，想认真也认真不起来。晚上老是想到还有作业没写完，睡不着。怎么办？;从什么时候开始这样的？
女 对婚姻没有安全感，经常觉得老公要背叛我，骗我，经常情绪低落，发呆，跑神，心里莫名的痛，;是要付费吗
女,25岁,男朋友单位组织去国外旅游。他自己直接就去办护照了。是否也应该问问我有没有想去的意思;老师您好
女,27岁,失恋了，明明知道他不是很优秀，很难忘记，每分每秒都很想他，一点都不符合我直爽的性格;你们处了多久
男,自从身边有几个人死后，一直怕自己猝死，焦虑睡不着觉，越想越害怕怎么办，睡不着怎么解决。;你多大？
女, 做作业时一直看的到自己鼻子，带眼镜也看得到，觉得鼻子档着自己的视线，很烦躁，作业做不下;这要怎么办
女25岁，无诱因抑郁症，好难受怎么办，影响工作，我会不会一辈子都这样，然后早晚有一天抗不住？;你需要学会与情绪和平共处。如果能解决问题，你就不会这么悲观了。
女,20岁,男朋友刚和我分手就去搜到了他以前很喜欢的一个前女友的微博 还赞了她照片 我是不是没救了;看起来你很在乎他哦，分手的原因是什么
你好医生，我最近一段时间总是怀疑自己得了大病，一有点不舒服就怀疑害怕？哎？困扰我很长时间了;你多大了。 这种情况多长时间了
你好，我现在失去工作了我好烦啊！现在也快过年了到处不招短期工，我真的一天对着无聊死了烦透了;点击我的头像加关注，电话咨询
情绪低落，言语减少甚至不说话，做什么事都提不起兴趣，自我评价降低，严重的话会产生轻生的念头;多大
深夜里，看着漆黑的天花板，心里老是想着她，(我是已婚男人)她把我的心带走了，郁闷，请您帮帮我;这个他是谁呢？
男朋友和我说分手     我挽留    他说我每次和他见面都吵架他心累    他说让他缓缓     这是什么情况呢;点头像关注我，私聊。
他和单位处的关系不好，感觉所有人都和他作对，经常发脾气，有暴力倾向。请问是不是有心理疾病？;他和你什么关系？
女,我今年28岁，做了两次人流，觉得对两个孩子有很大内疚感，内心很痛苦，并且开始怨恨孩子的父亲;老师您好
怎么去追一个离过婚的女性？？？要注意那些方面？？？我是一个没有结过婚的男士。家庭条件一般。;付费咨询，电话沟通，详细指导
女 男孩很爱女孩，女孩也很爱男孩，可是女孩的家教很严，这个女孩应该怎么做才能让自已的爱情持久;多大了？
同地但是不常见面，两年多了，女友因为想过单身跟我分手不久跟有钱公子好上，我是该放手还是等待;问题怎么解决
我每天只喜欢玩游戏，不爱和周围人说话，也不知道说些什么，离开游戏我感觉很无聊，我该怎么办？;你今年多大，这种情况持续多久了？
请问我35岁，女 ，有，糖尿病，初中毕业，高度近视，该怎么找工作，结婚，没小孩，头发白的比较多;点击头像关注我，初步交流如果认可，我们可以深入咨询。
我性格就是放不下。怎么办。班级有一个强势的女生总压着我，半年了。总想这些事。不知道怎么办了;嗯你好
我们两个都是已婚，出轨了，现在他被他老婆知道出轨，了但是不知道谁是小三！我该怎么办，好乱！;你的感觉是怎样的？
我有一个女友，她家里就她一个然后她家里想招个女婿，我家里人不同意但是我很爱她，我该怎么办？;点击我的头像加关注，电话咨询
我跟他分手了，后来我又挽回成功了。可是他说他没办法像以前那样爱我。他变了，他也不知道为什么;你们多大？
我上高中，心态出问题，一直逃学，大学也是，所以，人际交往有问题，没朋友！我都不知道，该咋办;你认为你的人际交往和逃学有关系吗  没有朋友和逃学是两回事啊
分手将近一年了，当初是因为婚房和彩礼使他越来越烦，最后他说不爱我了，我过的不快乐，一点都不;分手一年了。你还没有为放下啊
前几天交啦个女朋友，但他20号就回家啦！想跟我说分手，说还小，他想20岁再谈恋爱，现在我该怎么办;能告诉我该怎么做吗？
老公很疼我？为什么总说我丑，这样一说我就和他生气，他说他喜欢欺负我……就喜欢欺负我，求在线;很多男孩子喜欢一个人的时候，会故意贬低她。
如何治疗社交恐惧症啊，虽然知道是自己的心理作祟，但是总是克服不了，也影响了自己的日常生活。;这种情况多久了呢？
女,我越来越觉得自己缺乏归属感，感觉特别的孤独。自己的人际关系糟糕，我想要朋友和家人的陪伴…;多大了？
女 烦躁想到班主任做事方法就烦，虽然现在放假在家可还会想到班主任平常的为人害怕我下学期学不好;班主任不是针对你一个人吧  其他的同学也是和你同样的感觉吗
男 读书，读还是不读？成绩差，不努力，不能坚持。老三心二意，又怕吃苦，又贪玩，我应该怎么办？;怎么办
我想咨询一些心理问题，关于处理人际关系的，谁可以向我解答？本身年龄不大，有一些事情想不开。;我可以帮你解答
男,20岁,爸爸出轨了，妈妈总是想不开，对爸爸还抱着很大希望，相信爸爸能回心转意，我该怎么劝妈妈;你认为爸爸会怎样
